America/Adak,-10:00
America/Anchorage,-09:00
America/Anguilla,-04:00
America/Antigua,-04:00
America/Araguaina,-03:00
America/Argentina/Buenos_Aires,-03:00
America/Argentina/Catamarca,-03:00
America/Argentina/ComodRivadavia,-03:00
America/Argentina/Cordoba,-03:00
America/Argentina/Jujuy,-03:00
America/Argentina/La_Rioja,-03:00
America/Argentina/Mendoza,-03:00
America/Argentina/Rio_Gallegos,-03:00
America/Argentina/Salta,-03:00
America/Argentina/San_Juan,-03:00
America/Argentina/San_Luis,-03:00
America/Argentina/Tucuman,-03:00
America/Argentina/Ushuaia,-03:00
America/Aruba,-04:00
America/Asuncion,-03:00
America/Atikokan,-05:00
America/Atka,-10:00
America/Bahia,-03:00
America/Bahia_Banderas,-06:00
America/Barbados,-04:00
America/Belem,-03:00
America/Belize,-06:00
America/Blanc-Sablon,-04:00
America/Boa_Vista,-04:00
America/Bogota,-05:00
America/Boise,-07:00
America/Buenos_Aires,-03:00
America/Cambridge_Bay,-07:00
America/Campo_Grande,-04:00
America/Cancun,-05:00
America/Caracas,-04:00
America/Catamarca,-03:00
America/Cayenne,-03:00
America/Cayman,-05:00
America/Chicago,-06:00
America/Chihuahua,-06:00
America/Ciudad_Juarez,-07:00
America/Coral_Harbour,-05:00
America/Cordoba,-03:00
America/Costa_Rica,-06:00
America/Coyhaique,-03:00
America/Creston,-07:00
America/Cuiaba,-04:00
America/Curacao,-04:00
America/Danmarkshavn,+00:00
America/Dawson,-07:00
America/Dawson_Creek,-07:00
America/Denver,-07:00
America/Detroit,-05:00
America/Dominica,-04:00
America/Edmonton,-07:00
America/Eirunepe,-05:00
America/El_Salvador,-06:00
America/Ensenada,-08:00
America/Fort_Nelson,-07:00
America/Fort_Wayne,-05:00
America/Fortaleza,-03:00
America/Glace_Bay,-04:00
America/Godthab,-02:00
America/Goose_Bay,-04:00
America/Grand_Turk,-05:00
America/Grenada,-04:00
America/Guadeloupe,-04:00
America/Guatemala,-06:00
America/Guayaquil,-05:00
America/Guyana,-04:00
America/Halifax,-04:00
America/Havana,-05:00
America/Hermosillo,-07:00
America/Indiana/Indianapolis,-05:00
America/Indiana/Knox,-06:00
America/Indiana/Marengo,-05:00
America/Indiana/Petersburg,-05:00
America/Indiana/Tell_City,-06:00
America/Indiana/Vevay,-05:00
America/Indiana/Vincennes,-05:00
America/Indiana/Winamac,-05:00
America/Indianapolis,-05:00
America/Inuvik,-07:00
America/Iqaluit,-05:00
America/Jamaica,-05:00
America/Jujuy,-03:00
America/Juneau,-09:00
America/Kentucky/Louisville,-05:00
America/Kentucky/Monticello,-05:00
America/Knox_IN,-06:00
America/Kralendijk,-04:00
America/La_Paz,-04:00
America/Lima,-05:00
America/Los_Angeles,-08:00
America/Louisville,-05:00
America/Lower_Princes,-04:00
America/Maceio,-03:00
America/Managua,-06:00
America/Manaus,-04:00
America/Marigot,-04:00
America/Martinique,-04:00
America/Matamoros,-06:00
America/Mazatlan,-07:00
America/Mendoza,-03:00
America/Menominee,-06:00
America/Merida,-06:00
America/Metlakatla,-09:00
America/Mexico_City,-06:00
America/Miquelon,-03:00
America/Moncton,-04:00
America/Monterrey,-06:00
America/Montevideo,-03:00
America/Montreal,-05:00
America/Montserrat,-04:00
America/Nassau,-05:00
America/New_York,-05:00
America/Nipigon,-05:00
America/Nome,-09:00
America/Noronha,-02:00
America/North_Dakota/Beulah,-06:00
America/North_Dakota/Center,-06:00
America/North_Dakota/New_Salem,-06:00
America/Nuuk,-02:00
America/Ojinaga,-06:00
America/Panama,-05:00
America/Pangnirtung,-05:00
America/Paramaribo,-03:00
America/Phoenix,-07:00
America/Port_of_Spain,-04:00
America/Port-au-Prince,-05:00
America/Porto_Acre,-05:00
America/Porto_Velho,-04:00
America/Puerto_Rico,-04:00
America/Punta_Arenas,-03:00
America/Rainy_River,-06:00
America/Rankin_Inlet,-06:00
America/Recife,-03:00
America/Regina,-06:00
America/Resolute,-06:00
America/Rio_Branco,-05:00
America/Rosario,-03:00
America/Santa_Isabel,-08:00
America/Santarem,-03:00
America/Santiago,-04:00
America/Santo_Domingo,-04:00
America/Sao_Paulo,-03:00
America/Scoresbysund,-02:00
America/Shiprock,-07:00
America/Sitka,-09:00
America/St_Barthelemy,-04:00
America/St_Johns,-03:30
America/St_Kitts,-04:00
America/St_Lucia,-04:00
America/St_Thomas,-04:00
America/St_Vincent,-04:00
America/Swift_Current,-06:00
America/Tegucigalpa,-06:00
America/Thule,-04:00
America/Thunder_Bay,-05:00
America/Tijuana,-08:00
America/Toronto,-05:00
America/Tortola,-04:00
America/Vancouver,-08:00
America/Virgin,-04:00
America/Whitehorse,-07:00
America/Winnipeg,-06:00
America/Yakutat,-09:00
America/Yellowknife,-07:00
