Australia/ACT,+10:00
Australia/Adelaide,+09:30
Australia/Brisbane,+10:00
Australia/Broken_Hill,+09:30
Australia/Canberra,+10:00
Australia/Currie,+10:00
Australia/Darwin,+09:30
Australia/Eucla,+08:45
Australia/Hobart,+10:00
Australia/LHI,+10:30
Australia/Lindeman,+10:00
Australia/Lord_Howe,+10:30
Australia/Melbourne,+10:00
Australia/North,+09:30
Australia/NSW,+10:00
Australia/Perth,+08:00
Australia/Queensland,+10:00
Australia/South,+09:30
Australia/Sydney,+10:00
Australia/Tasmania,+10:00
Australia/Victoria,+10:00
Australia/West,+08:00
Australia/Yancowinna,+09:30
