Arctic/Longyearbyen,+01:00
CET,+01:00
CST6CDT,-06:00
Cuba,-05:00
EET,+02:00
Egypt,+02:00
Eire,+00:00
EST,-05:00
EST5EDT,-05:00
Factory,+00:00
GB,+00:00
GB-Eire,+00:00
GMT,+00:00
GMT-0,+00:00
GMT+0,+00:00
GMT0,+00:00
Greenwich,+00:00
Hongkong,+08:00
HST,-10:00
Iceland,+00:00
Iran,+03:30
Israel,+02:00
Jamaica,-05:00
Japan,+09:00
Kwajalein,+12:00
Libya,+02:00
MET,+01:00
MST,-07:00
MST7MDT,-07:00
Navajo,-07:00
NZ,+12:00
NZ-CHAT,+12:45
Poland,+01:00
Portugal,+00:00
PRC,+08:00
PST8PDT,-08:00
ROC,+08:00
ROK,+09:00
Singapore,+08:00
Turkey,+03:00
UCT,+00:00
Universal,+00:00
UTC,+00:00
W-SU,+03:00
WET,+00:00
